precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
33,SĂLAJ,"ŞCOALA CU CLASELE I-IV",66,AGRIJ,139937,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:30",313,272,0,31,10,232,191,0,31,10,218,12,320,90,119,57,17,7,18
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ NR.1 AGRIJ",65,AGRIJ,139937,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:25",894,837,1,24,32,600,543,1,24,32,572,28,872,272,256,121,48,98,49
