precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL VERDE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi"
24,IAŞI,"SCOALA GIMNAZIALA CONTESTI",756,"VALEA SEACĂ",99968,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:41:19",1459,1456,0,1,2,741,738,0,1,2,713,28,1600,859,44,21,40,565,9,0,7,19,8
24,IAŞI,"SCOALA GIMNAZIALA TOPILE",757,"VALEA SEACĂ",99968,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:37",1888,1856,0,6,26,976,944,0,6,26,927,49,2059,1083,73,14,448,217,135,7,15,7,11
24,IAŞI,"SCOALA GIMNAZIALA VALEA SEACA",755,"VALEA SEACĂ",99968,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:02:52",1642,1633,0,4,5,768,759,0,4,5,734,34,1800,1032,37,20,103,394,53,8,17,67,35
