precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LOGOFĂTU NICUŞOR-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMIONESCU ALEXANDRU-ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SECĂREANU IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ STOLNICUL CONSTANTIN CANTACUZINO - ISVOARELE",161,ISVOARELE,179766,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:07:20",1153,1007,1,132,13,853,708,0,132,13,823,30,1104,251,433,345,45
19,GIURGIU,"ŞCOALA TEIUŞU",162,ISVOARELE,179766,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:51:00",192,162,0,29,1,148,118,0,29,1,138,10,179,31,103,28,7
