precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"GRĂDINIȚA DE COPII BIHARIA",247,BIHARIA,27436,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:25",1695,1587,71,4,33,973,936,0,4,33,911,25,1811,838,14,691,25,133,48
5,BIHOR,"ȘCOALA GENERALĂ CU CLASELE I-IV CAUACEU",248,BIHARIA,27436,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:00",646,631,2,4,9,389,376,0,4,9,378,11,722,333,9,329,8,24,8
5,BIHOR,"ȘCOALA GENERALĂ CU CLASELE V-VIII GASPAR ANDRAS",246,BIHARIA,27436,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:51",1697,1638,10,0,49,1048,997,2,0,49,1017,31,1904,856,13,837,19,101,47
