precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA CIUPELNIŢA",402,DUMBRAVA,133090,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:54:44",1431,1420,0,0,11,751,740,0,0,11,709,42,1600,849,16,526,79,45,43
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA DUMBRAVA",401,DUMBRAVA,133090,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:36:18",1301,1282,2,2,15,763,746,0,2,15,731,32,1405,642,64,487,133,37,10
31,PRAHOVA,"CĂMIN CULTURAL LOCALITATEA ZĂNOAGA",403,DUMBRAVA,133090,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:48",754,747,0,0,7,497,490,0,0,7,485,12,800,303,27,392,40,21,5
