precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BORUGĂ ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","TRUŞCONIU VALENTIN-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIHU PETRIŞOR-GEORGEL-PARTIDUL NAȚIONAL LIBERAL-voturi","OLTEANU DUMITRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"CĂMIN CULTURAL BROŞTENI",126,BROŞTENI,110875,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:06",1316,1201,0,86,29,886,771,0,86,29,857,29,1347,461,350,202,258,47
27,MEHEDINŢI,"CENTRUL TURISTIC PENTRU ACTIVITĂȚI CULTURALE SI SPORTIVE",127,BROŞTENI,110875,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:24:53",1149,1035,0,96,18,828,714,0,96,18,802,26,1161,333,478,165,150,9
