precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA CASIAN PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","GORNIC FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRĂGAN DAN-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DUDUMA FLORIN-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
2,ARAD,"PRIMĂRIA COMUNEI PILU",334,PILU,11735,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:18",950,897,0,32,21,713,660,0,32,21,687,26,985,272,273,5,334,75
2,ARAD,"ŞCOALA GIMNAZIALĂ VĂRȘAND",335,PILU,11735,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:28",840,805,5,11,19,589,558,1,11,19,560,29,876,287,319,15,207,19
