precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NOVAC TITIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MATIŞ VIORICA-UNIUNEA SALVAȚI ROMÂNIA-voturi","GRAUR VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:15:38",1742,1720,4,5,13,754,736,0,5,13,727,27,1800,1046,52,65,610
37,TIMIŞ,"CASA DE CULTURĂ LOVRIN",460,LOVRIN,157530,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:50:39",1584,1576,0,0,8,630,623,0,0,7,611,19,1854,1224,41,25,545
