precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi"
28,MUREŞ,"CAMIN CULTURAL",305,CHEŢANI,116046,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:45",468,449,1,11,7,288,270,0,11,7,270,16,488,202,69,28,63,36,23,51
28,MUREŞ,"CAMIN CULTURAL HADARENI",306,CHEŢANI,116046,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:54",656,653,1,1,1,370,368,0,1,1,345,25,712,342,59,49,51,23,53,110
28,MUREŞ,"SEDIUL PRIMARIEI CHETANI",304,CHEŢANI,116046,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:23:35",926,910,0,11,5,583,567,0,11,5,552,31,1005,422,14,55,118,101,143,121
