precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","CRIŞAN GAVRIL-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:57:46",524,494,17,6,7,267,254,0,6,7,250,17,560,293,2,3,6,53,3,150,33,0
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:50:44",816,787,3,21,5,512,491,0,16,5,477,35,870,358,48,103,4,178,13,13,77,41
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 14:03:08",609,590,0,6,13,343,324,0,6,13,331,12,670,327,13,17,5,174,9,25,82,6
