precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SPULBER GHEORGHE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
41,VRANCEA,SCOALA,110,BOGHEŞTI,175260,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 11:31:34",404,377,0,16,11,286,259,0,16,11,273,13,425,139,2,26,169,11,65
41,VRANCEA,"ȘCOALA GIMNAZIALĂ BOGHEȘTI",108,BOGHEŞTI,175260,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 09:58:13",637,604,0,12,21,455,422,0,12,21,425,30,677,222,48,23,120,111,123
41,VRANCEA,"SCOALA IUGANI",109,BOGHEŞTI,175260,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 10:04:33",112,97,0,11,4,77,62,0,11,4,74,3,114,37,2,10,18,15,29
