precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU ȘAG-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",566,ŞAG,158779,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:21:47",1406,1345,10,39,12,802,768,10,12,12,768,0,1559,769,58,102,73,38,401,39,32,25
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",567,ŞAG,158779,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:16:03",1578,1475,11,22,70,1027,932,3,22,70,986,41,1600,573,72,173,101,72,482,37,36,13
37,TIMIŞ,"ȘCOALĂ - MUZEU",568,ŞAG,158779,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:17",1552,1486,10,47,9,1055,1000,0,47,8,1022,19,1600,552,126,101,105,36,583,32,15,24
