precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL OHABA-MÂTNIC",215,COPĂCELE,52062,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:15",265,202,0,55,8,196,133,0,55,8,190,0,272,82,2,7,115,65,1
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ZORILE",217,COPĂCELE,52062,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:08",338,283,0,44,11,230,175,0,44,11,210,19,359,130,34,6,102,30,38
11,CARAŞ-SEVERIN,"ŞCOALA GENERALĂ RUGINOSU",216,COPĂCELE,52062,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:49:23",99,90,0,6,3,74,65,0,6,3,73,1,120,46,1,0,38,33,1
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ COPĂCELE",214,COPĂCELE,52062,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:27",309,267,0,32,10,198,156,0,32,10,193,5,346,148,10,40,96,32,15
