precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
1,ALBA,"CAMINUL CULTURAL GEOGEL",344,PONOR,6397,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:53",221,181,1,32,7,171,131,1,32,7,123,38,225,64,47,76
1,ALBA,"PRIMARIA COMUNEI PONOR",343,PONOR,6397,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:48",377,334,0,34,9,286,243,0,34,9,238,48,385,99,64,174
