precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
10,BUZĂU,"CAMINUL CULTURAL MOŞEŞTI",333,ROBEASCA,49019,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:35",247,211,0,8,28,161,125,0,8,28,154,7,262,101,15,139
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ROBEASCA",332,ROBEASCA,49019,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:33",547,501,0,4,42,373,329,0,4,40,363,10,600,227,131,232
