precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENESCU NICULAE-EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi","DRĂGHICIU VALENTIN-ADIN-ALIANȚA ELECTORALĂ PSD-PUSL-voturi","DAMIAN LEON-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
31,PRAHOVA,"CĂMİN CULTURAL BOLDEŞTİ",338,BOLDEŞTI-GRADIŞTEA,132379,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:51:20",597,581,1,5,10,415,400,0,5,10,398,17,599,184,95,197,106
31,PRAHOVA,"ŞCOALA GİMNAZİALĂ COMUNA BOLDEŞTİ-GRADİŞTEA,CORP B",339,BOLDEŞTI-GRADIŞTEA,132379,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:50:03",652,624,0,8,20,481,453,0,8,20,461,20,707,226,191,58,212
