precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUGĂ RUDI-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂGUREANU VIOREL-MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂDOI DANIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi"
30,OLT,"CĂMINUL CULTURAL",328,"ŞTEFAN CEL MARE",129282,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:53",941,799,1,91,50,724,583,0,91,50,712,12,940,216,242,460,10
30,OLT,"GRĂDINIŢA IANCA NOUĂ",329,"ŞTEFAN CEL MARE",129282,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:00",471,430,0,22,19,360,319,0,22,19,346,14,475,115,151,191,4
