precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"CAMIN CULTURAL",442,TAŞCA,124563,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:31",1359,1337,1,5,16,757,736,0,5,16,721,36,1500,743,71,165,147,280,31,27
29,NEAMŢ,"PUNCT DE INFORMARE NEAGRA",443,TAŞCA,124563,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:33:52",774,766,1,0,7,409,402,0,0,7,399,10,800,391,28,64,114,140,31,22
