precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÂCÂIN EMIL-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","STUPINEAN SIMION-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂCURAR VASILE-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCUR IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COMLOD",192,MILAŞ,33881,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:08:48",130,114,0,14,2,85,69,0,14,2,82,3,130,45,58,21,2,1
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL OROSFAIA",193,MILAŞ,33881,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:48:36",228,207,0,17,4,228,207,0,17,4,223,5,290,62,170,36,13,4
6,BISTRIŢA-NĂSĂUD,"GRADINITA CU PROGRAM NORMAL",191,MILAŞ,33881,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:34",592,568,2,8,14,382,359,1,8,14,373,9,642,260,254,95,19,5
