precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi","RADU MARIN-voturi"
17,DOLJ,"CĂMINUL CULTURAL TEASC",502,TEASC,74322,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:11:20",1336,1297,0,15,24,974,935,0,15,24,925,49,1396,422,87,385,304,77,43,13,13,3
17,DOLJ,"ŞCOALA GIMNAZIALĂ SECUI",503,TEASC,74322,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:17:30",1266,1224,0,30,12,865,823,0,30,12,815,50,1400,535,26,349,235,13,7,94,56,35
