precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"ŞCOALA GENERALĂ VALEA",162,BOLBOŞI,79077,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:06:25",1108,1098,3,5,2,582,575,0,5,2,541,41,1181,599,175,281,37,9,14,25
20,GORJ,"ŞCOALA PRIMARĂ BĂLĂCEŞTI",161,BOLBOŞI,79077,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:06",532,524,0,3,5,373,365,0,3,5,356,17,600,227,170,131,27,6,14,8
20,GORJ,"ŞCOALA PRIMARĂ BOLBOŞI",160,BOLBOŞI,79077,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:48",906,886,0,9,11,629,609,0,9,11,602,27,1000,371,148,371,20,33,7,23
