precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROTARU SORIN-NICUŞOR-PARTIDUL SOCIAL DEMOCRAT-voturi","BEŞTELEU MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"GRADINITA CU PROGRAM NORMAL GURA CALUIU",147,CĂLUI,130295,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:46:19",453,444,0,3,6,277,268,0,3,6,258,19,576,299,206,52
30,OLT,"SCOALA GIMNAZIALA CALUI",146,CĂLUI,130295,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:34:03",723,703,2,10,8,481,462,1,10,8,461,20,891,410,318,143
