precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CIARNĂU CLAUDIU-IOAN-voturi"
5,BIHOR,"CASA DE CULTURĂ MARGHITA",159,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:05:06",1121,1110,3,6,2,543,535,0,6,2,542,1,1251,708,286,62,11,146,15,22
5,BIHOR,"CLUBUL COPIILOR",160,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:11",1197,1174,2,9,12,575,554,0,9,12,568,7,1330,755,279,69,20,167,14,19
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",154,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:55",1547,1501,2,9,35,862,818,0,9,35,846,16,1657,795,425,132,33,215,14,27
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",155,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:18:51",1484,1456,2,8,18,793,766,1,8,18,765,28,1606,813,301,123,24,263,27,27
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",156,"MUNICIPIUL MARGHITA",26877,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:15:30",1227,1212,0,10,5,644,629,0,10,5,634,8,1340,698,243,111,13,234,12,21
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",158,"MUNICIPIUL MARGHITA",26877,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:08:08",1243,1223,2,12,6,641,623,0,12,6,631,10,1360,719,212,113,11,243,37,15
5,BIHOR,"COLEGIUL NAŢIONAL ”OCTAVIAN GOGA”",157,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:29",1163,1144,5,4,10,595,581,0,4,10,591,4,1270,675,255,102,13,204,8,9
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4",162,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:01",986,974,0,5,7,427,415,0,5,7,407,20,1098,671,221,59,21,94,10,2
5,BIHOR,"LICEUL TEORETIC ” HORVÁTH JÁNOS ”",163,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:20:16",1405,1366,4,13,22,798,763,0,13,22,781,17,1525,727,446,87,21,194,19,14
5,BIHOR,"LICEUL TEORETIC ”HORVÁTH JÁNOS”",161,"MUNICIPIUL MARGHITA",26877,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:13:47",1275,1256,0,8,11,666,647,0,8,11,645,21,1408,742,381,61,26,150,11,16
5,BIHOR,"ŞCOALA CU CLASELE I-VIII CHEŢ",164,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:44",936,926,1,6,3,481,472,0,6,3,440,41,1021,540,284,27,9,109,6,5
5,BIHOR,"ŞCOALA CU CLASELE I-VIII GHENETEA",165,"MUNICIPIUL MARGHITA",26877,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:40:01",570,560,3,6,1,282,275,0,6,1,273,9,400,118,11,43,21,187,7,4
