precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LEFTER GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","GACHE GEORGE-AURELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
18,GALAŢI,"GRĂDINIȚA BĂNEASA",233,BĂNEASA,75686,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:47:43",696,638,0,13,45,696,638,0,13,45,672,24,1200,504,151,521
18,GALAŢI,"SCOALA PRIMARA ”ION VODA CEL VITEAZ ROSCANI",234,BĂNEASA,75686,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:08:55",458,438,0,5,15,290,270,0,5,15,265,10,564,289,71,194
