precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENE COSTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BUCĂ MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","STANCU NICOLAE-ALIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"CĂMINUL CULTURAL SLĂVENI",214,GOSTAVĂŢU,127144,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:36",1056,1023,2,23,8,722,691,0,23,8,700,22,1136,414,231,454,15
30,OLT,"ŞCOALA GENERALĂ GOSTAVĂŢU",213,GOSTAVĂŢU,127144,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:12:52",1276,1218,0,47,11,880,822,0,47,11,808,25,1345,512,421,327,60
