precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SPĂTARU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GRIGORE VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
10,BUZĂU,"ŞCOALA GIMNAZIALĂ BOZIORU",163,BOZIORU,45389,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:42",537,447,0,68,22,410,320,0,68,22,401,9,508,98,291,110
10,BUZĂU,"ŞCOALA PRIMARĂ FIŞICI",164,BOZIORU,45389,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:10",301,262,0,36,3,227,188,0,36,3,216,11,270,43,119,97
