precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DIACONU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","ENE FLOREA-PARTIDUL SOCIAL DEMOCRAT-voturi","PREDA MIRCEA-ION-PARTIDUL PRO ROMÂNIA-voturi"
3,ARGEŞ,"GRĂDINIȚA DOGARI",300,CIOMĂGEŞTI,15554,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:11",223,209,0,13,1,146,132,0,13,1,142,4,226,80,64,69,9
3,ARGEŞ,"SCOALA CIOMĂGEȘTI",299,CIOMĂGEŞTI,15554,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:21",360,306,0,43,11,290,236,0,43,11,281,9,351,61,97,169,15
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ BRĂTIA",298,CIOMĂGEŞTI,15554,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:33",381,319,1,51,10,300,239,0,51,10,291,6,346,49,120,106,65
