precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOBANU COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CÂDĂ IONICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","BEJINARIU MIREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AGAFIŢEI LUCICA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"CAMINUL CULTURAL MAGIRESTI",427,MĂGIREŞTI,23387,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:10:39",1018,1008,0,2,8,553,543,0,2,8,523,20,1100,256,109,384,12,18
4,BACĂU,"SALA DE SPORT DIN SATUL ȘESURI",430,MĂGIREŞTI,23387,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:28",416,408,3,3,2,238,232,1,3,2,227,11,539,301,48,165,9,5
4,BACĂU,"SCOALA CU CLASELE I-IV PRAJESTII",428,MĂGIREŞTI,23387,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:20:22",476,472,0,3,1,239,235,0,3,1,228,11,468,229,26,192,9,1
4,BACĂU,"ŞCOALA CU CLASELE.I-IV STĂNEŞTI (CORP NOU)",429,MĂGIREŞTI,23387,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:29",488,478,0,5,5,227,217,0,5,5,223,4,500,273,84,131,5,3
4,BACĂU,"ŞCOALA CU CLASELE I-VIII VALEA ARINILOR",431,MĂGIREŞTI,23387,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:43:54",923,909,0,3,11,482,468,0,3,11,454,28,996,514,211,220,18,5
