precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TACHE IOANA-voturi"
3,ARGEŞ,"CĂMIN CULTURAL RETEVOIEŞTI",421,PIETROŞANI,17851,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:42",1301,1299,0,2,0,697,695,0,2,0,682,15,1469,772,154,110,318,77,23
3,ARGEŞ,"PRIMĂRIE VECHE",419,PIETROŞANI,17851,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:20",1234,1227,0,7,0,767,760,0,7,0,744,23,1354,574,189,11,410,104,30
3,ARGEŞ,"SALA DE SPORT PIETROŞANI",418,PIETROŞANI,17851,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:43",1361,1360,1,0,0,803,803,0,0,0,784,19,1455,652,156,19,414,119,76
3,ARGEŞ,"ŞCOALAGENERALĂ CU CLASELE I-IV GĂNEŞTI",420,PIETROŞANI,17851,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:39",496,487,0,9,0,312,303,0,9,0,300,12,542,230,72,21,159,41,7
