precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ABABEI NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUCA ION-CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","STREINU ION-PARTIDUL SOCIAL DEMOCRAT-voturi","STOICA ION-PARTIDUL S.O.S. ROMÂNIA-voturi","IORDAN CRISTIANA-PARTIDUL PRO ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ŞIRINEASA",393,ŞIRINEASA,173686,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:06:40",1167,1157,2,0,8,661,653,0,0,8,634,27,1280,619,22,174,412,25,1
40,VÂLCEA,"ŞCOALA PRIMARĂ CIORĂŞTI",394,ŞIRINEASA,173686,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:17",497,484,0,2,11,320,308,0,2,10,306,14,520,200,19,55,225,2,5
40,VÂLCEA,"ŞCOALA PRIMARĂ SLĂVITEŞTI",395,ŞIRINEASA,173686,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:38:15",249,240,0,6,3,136,127,0,6,3,132,4,260,124,6,40,84,0,2
