precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGAN VIRGINIA-PARTIDUL NAȚIONAL LIBERAL-voturi","ANTON MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA IONUŢ-VALENTIN-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",176,MÂRŞA,104225,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:47",998,934,0,15,49,661,597,0,15,49,646,13,1026,367,488,17,141
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",177,MÂRŞA,104225,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:04:23",1208,1172,0,8,28,817,781,0,8,28,805,9,1289,475,605,52,148
