precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","GRUESCU ION-voturi"
20,GORJ,"ȘCOALA GIMNAZIALĂ NR.1 NEGOMIR",255,NEGOMIR,80980,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:38:12",1089,1064,1,7,17,768,744,0,7,17,731,37,1200,432,385,75,93,72,6,100
20,GORJ,"ȘCOALA GIMNAZIALĂ RACI",257,NEGOMIR,80980,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:50:03",808,791,0,8,9,551,534,0,8,9,545,6,845,294,401,18,60,49,1,16
20,GORJ,"ȘCOALA PRIMARĂ ARTANU",256,NEGOMIR,80980,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:51:31",659,628,1,16,14,659,628,1,16,14,633,18,1000,349,360,91,74,51,1,56
