precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KRIŞAN COSMIN-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MICLĂUŞ NICUSOR-IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","SOMEŞAN COSMIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","BĂBAN VASILE-FORȚA DREPTEI-voturi","ŞIMON TEREZIA-PARTIDUL PRO ROMÂNIA-voturi"
32,"SATU MARE","CAMIN CULTURAL",270,POMI,138618,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:09:11",121,110,0,8,3,87,76,0,8,3,83,4,130,43,62,8,3,1,9
32,"SATU MARE","CAMIN CULTURAL",269,POMI,138618,1,PROV,PRCNCT,P,P_SV,"2024-06-09 23:54:36",83,66,0,13,4,78,61,0,13,4,60,1,97,36,49,7,0,1,3
32,"SATU MARE","CĂMIN CULTURAL BORLEŞTI",271,POMI,138618,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:44",679,619,1,47,12,426,366,1,47,12,407,19,680,254,342,55,4,2,4
32,"SATU MARE","CĂMIN CULTURAL POMI",268,POMI,138618,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:17",737,685,2,23,27,490,439,1,23,27,480,10,750,260,295,63,25,41,56
