precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
28,MUREŞ,"PRIMARIA BOGATA",286,BOGATA,115824,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:38",1301,1240,5,15,41,811,754,1,15,41,771,40,1391,580,312,89,47,237,63,23
28,MUREŞ,"ŞCOALA PRIMARĂ",287,BOGATA,115824,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:23",246,225,0,15,6,171,150,0,15,6,163,8,260,89,90,25,4,18,1,25
