precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUSU RAIMOND-OVIDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","TOPOLNICEANU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:39",1196,1179,5,8,4,545,531,2,8,4,507,38,1400,855,410,97
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT BECICHERECU MIC",317,"BECICHERECU MIC",155760,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:15",1585,1572,3,0,10,796,786,0,0,10,728,68,1633,837,596,132
