precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRUTARU MARIUS-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ENE MARIA-PARTIDUL NAȚIONAL LIBERAL-voturi","DOLETE ANGELICA-ANA-voturi"
23,IALOMIŢA,"ŞCOALA DIN SATUL SLĂTIOARELE",166,JILAVELE,103960,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:52:58",289,275,0,7,7,188,174,0,7,7,181,7,310,122,132,30,19
23,IALOMIŢA,"ŞCOALA NR.1 JILAVELE",164,JILAVELE,103960,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:46",1114,1088,1,6,19,682,656,1,6,19,657,25,1219,537,422,214,21
23,IALOMIŢA,"ŞCOALA NR.2 JILAVELE",165,JILAVELE,103960,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:02",1183,1150,1,13,19,738,706,0,13,19,714,24,1280,542,405,260,49
