precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
24,IAŞI,"CORP A ŞCOALA GIMNAZIALĂ DUMBRAVA",377,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:32",1261,1252,0,9,0,560,551,0,9,0,537,23,1400,840,30,8,48,323,85,36,7
24,IAŞI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 3 CURĂTURI",376,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:33:19",271,262,1,7,1,156,147,1,7,1,154,2,300,144,7,2,12,104,16,10,3
24,IAŞI,"SCOALA GIMNAZIALA CIUREA",375,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:39",1192,1189,0,2,1,487,484,0,2,1,474,13,1300,813,67,1,47,249,70,33,7
24,IAŞI,"SCOALA GIMNAZIALA CIUREA",374,CIUREA,96254,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:46",1270,1262,1,5,2,528,521,0,5,2,507,19,1400,874,91,26,48,252,57,28,5
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",382,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:14",1802,1797,0,2,3,798,793,0,2,3,788,10,1900,1102,222,1,45,300,164,40,16
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",379,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:02:04",1894,1885,4,1,4,773,768,0,1,4,759,14,2100,1327,141,14,76,350,129,33,16
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",381,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:00:30",1832,1824,5,1,2,921,918,0,1,2,885,33,2000,1082,133,19,60,482,144,37,10
24,IAŞI,"ŞCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂŢUII",380,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:05",1910,1903,2,4,1,871,864,2,4,1,851,20,2100,1229,206,15,69,316,197,35,13
24,IAŞI,"ȘCOALA GIMNAZIALĂ ” COMANDOR ALEXANDRU CĂTUNEANU” LUNCA CETĂȚUII",383,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:48",1775,1766,1,7,1,885,877,0,7,1,865,20,1800,915,140,13,67,381,206,42,16
24,IAŞI,"ȘCOALA GIMNAZIALĂ PICIORU LUPULUI",385,CIUREA,96254,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:20",479,472,0,3,4,211,204,0,3,4,193,15,500,292,15,1,13,128,29,5,2
24,IAŞI,"ȘCOALA PRIMARĂ HLINCEA",378,CIUREA,96254,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:33:38",1230,1219,5,5,1,547,540,1,5,1,538,7,1300,755,179,6,32,184,99,31,7
24,IAŞI,"SCOALA PRIMARA NR.2 LUNCA CETAŢUII ( ZANEA)",384,CIUREA,96254,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:39",584,577,0,7,0,348,341,0,7,0,277,70,600,253,4,226,7,28,4,4,4
24,IAŞI,"ȘCOALA PRIMARĂ NR. 2 SLOBOZIA ( CORP CLĂDIRE NOU)",386,CIUREA,96254,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:31",357,345,0,10,2,209,197,0,10,2,187,10,411,214,11,2,17,111,41,4,1
