precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",384,"RONA DE SUS",108632,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:59:04",1635,1595,0,4,36,834,795,0,4,35,723,111,1700,866,452,65,83,38,0,17,36,21,11
26,MARAMUREŞ,"CĂMINUL CULTURAL",385,"RONA DE SUS",108632,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:17",1505,1469,3,3,30,753,720,0,3,30,698,55,1600,847,420,70,70,53,4,19,15,16,31
26,MARAMUREŞ,"CLUBUL TINERETULUI",386,"RONA DE SUS",108632,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:15",630,609,1,5,15,377,357,0,5,15,358,19,754,377,127,59,48,19,74,14,8,2,7
