precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","FORȚA DREPTEI-voturi","BELCIUG MIHAIL-CĂTĂLIN-voturi"
31,PRAHOVA,"GRADINITA DE COPII NR.1",331,BERTEA,132342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:47",1333,1325,0,0,8,793,785,0,0,8,746,47,1460,667,60,90,256,79,23,28,60,150
31,PRAHOVA,"GRADINITA DE COPII NR.2",332,BERTEA,132342,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:16:40",1099,1095,0,3,1,601,597,0,3,1,573,28,1210,609,17,115,270,21,25,9,38,78
