precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ TRAIAN, STRADA PRINCIPALĂ NR. 188",307,TRAIAN,154736,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:37",759,736,0,4,19,366,343,0,4,19,341,25,810,444,218,27,80,5,4,7
36,TELEORMAN,"SPAŢII BIROURI, STRADA PRINCIPALĂ NR. 116",306,TRAIAN,154736,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:52",634,602,1,12,19,352,322,1,12,17,339,13,651,299,191,34,77,17,11,9
