county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","STOIAN FLORIAN-voturi","STOIAN FLORIAN-mandate-faza-1","STOIAN FLORIAN-mandate-faza-2","OLTEANU MIRCEA-voturi","OLTEANU MIRCEA-mandate-faza-1","OLTEANU MIRCEA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","GHERA MITICĂ-EUGEN-voturi","GHERA MITICĂ-EUGEN-mandate-faza-1","GHERA MITICĂ-EUGEN-mandate-faza-2","GHEORGHE MARIAN-voturi","GHEORGHE MARIAN-mandate-faza-1","GHEORGHE MARIAN-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","DOBRE DAN-GEORGE-voturi","DOBRE DAN-GEORGE-mandate-faza-1","DOBRE DAN-GEORGE-mandate-faza-2","IORDAN SERGIU-MIHAI-voturi","IORDAN SERGIU-MIHAI-mandate-faza-1","IORDAN SERGIU-MIHAI-mandate-faza-2","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-1","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","ALBU PAUL-voturi","ALBU PAUL-mandate-faza-1","ALBU PAUL-mandate-faza-2","ALMĂJANU RALUCA-GABRIELA-voturi","ALMĂJANU RALUCA-GABRIELA-mandate-faza-1","ALMĂJANU RALUCA-GABRIELA-mandate-faza-2","MARDALE SANDU-NICU-voturi","MARDALE SANDU-NICU-mandate-faza-1","MARDALE SANDU-NICU-mandate-faza-2","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-1","PARTIDUL LEGE EDUCAȚIE UNITATE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","DOBRE FLORIN-voturi","DOBRE FLORIN-mandate-faza-1","DOBRE FLORIN-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-2","COMAN IONUŢ-voturi","COMAN IONUŢ-mandate-faza-1","COMAN IONUŢ-mandate-faza-2"
36,TELEORMAN,BĂBĂIŢA,152038,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:16:37",2194,2075,0,23,96,1622,1503,0,23,96,1583,39,2401,779,79,110,126,143,976,6,1,491,3,0,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BALACI,151996,2,FINAL,UAT,CL,CL_CE,"2024-06-14 13:51:01",1305,1133,0,94,78,913,741,0,94,78,885,28,1235,322,44,61,70,98,516,5,0,67,0,1,302,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BECIU,155083,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:16:36",1187,1118,1,42,26,907,838,1,42,26,876,31,1245,338,43,61,70,79,676,8,1,200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BEUCA,155092,2,FINAL,UAT,CL,CL_CE,"2024-06-14 18:26:14",1018,824,1,84,109,784,590,1,84,109,758,26,1023,239,37,53,60,82,340,4,0,339,4,0,0,0,0,18,0,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BLEJEŞTI,152083,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:47:58",2908,2847,0,31,30,1845,1784,0,31,30,1793,52,3154,1309,89,125,143,137,1412,10,0,116,0,1,265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BOGDANA,152127,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:48:45",1837,1640,0,116,81,1559,1383,0,116,60,1260,68,1784,456,63,88,100,109,652,5,1,556,5,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BOTOROAGA,152172,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:56:36",4106,3607,1,318,180,2949,2450,1,318,180,2886,44,3975,1036,144,202,230,221,1558,7,0,1000,4,1,316,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BRAGADIRU,152234,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:50:52",3030,2860,0,17,153,1828,1658,0,17,153,1746,32,3145,1367,87,122,139,134,1479,11,0,0,0,0,267,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BRÂNCENI,152252,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:08:05",2316,2181,1,38,96,1685,1551,0,38,96,1504,114,2395,733,75,105,120,136,924,6,1,134,0,1,141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TELEORMAN,BUJORENI,152270,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:08:49",751,695,1,41,14,348,293,0,41,14,326,22,759,411,16,22,26,36,253,7,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
