precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi"
27,MEHEDINŢI,"GRADINITA ESELNITA",172,EŞELNIŢA,112245,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:41:05",1274,1231,1,31,11,739,697,0,31,11,709,30,1366,627,254,50,160,201,44
27,MEHEDINŢI,"GRADINITA ESELNITA",171,EŞELNIŢA,112245,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:16:45",1207,1157,5,38,7,664,619,0,38,7,639,25,1278,614,209,82,135,180,33
