precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CUC VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi","MORAR FLORIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CODREAN ADRIAN-ROMUS-PARTIDUL NAȚIONAL LIBERAL-voturi","MEŞTER NICOLAE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COTUNA DANTES-RAUL-voturi"
5,BIHOR,"CĂMIN CULTURAL",627,TILEAGD,31716,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:51",342,336,0,5,1,163,157,0,5,1,149,14,367,204,11,24,99,5,10
5,BIHOR,"CĂMIN CULTURAL",628,TILEAGD,31716,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:27:03",667,660,1,3,3,333,327,0,3,3,314,19,725,392,19,52,184,16,43
5,BIHOR,"CĂMIN CULTURAL",629,TILEAGD,31716,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:11",692,671,0,13,8,346,325,0,13,8,333,13,743,381,18,37,145,6,127
5,BIHOR,"CENTRUL CULTURAL MULTIFUNCTIONAL",623,TILEAGD,31716,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:28",1857,1839,1,11,6,850,832,1,11,6,806,44,2022,1172,58,107,557,22,62
5,BIHOR,"CLĂDIRE MULTIFUNCȚIONALĂ DE INTERES PUBLIC",625,TILEAGD,31716,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:02",477,466,1,7,3,289,279,0,7,3,264,18,514,232,4,77,168,6,9
5,BIHOR,"SCOALA CU CLS.I-IV",624,TILEAGD,31716,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:13:59",1341,1301,5,21,14,534,513,0,7,14,518,16,1434,884,32,65,319,43,59
5,BIHOR,"SCOALA CU CLS.I-IV",626,TILEAGD,31716,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:17:56",153,142,1,8,2,75,65,0,8,2,72,3,158,83,7,15,46,0,4
