precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
6,BISTRIŢA-NĂSĂUD,"AUTOGARA CĂLĂTORI",74,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:31",1677,1658,0,17,2,752,733,0,17,2,720,32,1850,1098,24,52,251,360,7,19,3,1,3
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA COMUNALĂ SATU NOU",105,CETATE,32884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:40",618,602,1,7,8,439,424,0,7,8,397,42,656,217,26,52,142,141,3,25,1,1,6
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:14",1596,1525,3,42,26,902,834,0,42,26,858,19,1700,823,98,80,316,280,0,84,0,0,0
6,BISTRIŢA-NĂSĂUD,"CABANA STARSILVA FIAD",295,TELCIU,35054,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:47:12",158,149,0,9,0,90,81,0,9,0,79,11,200,100,0,6,37,28,1,7,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL",242,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:05",176,146,0,25,5,128,98,0,25,5,117,11,150,22,6,17,81,8,0,2,0,3,0
6,BISTRIŢA-NĂSĂUD,"CAMIN CULTURAL ”GRIGORE PLETOSU”",259,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:29",546,538,0,3,5,287,279,0,3,5,267,20,600,313,12,39,93,104,4,13,1,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL JOSENII BÂRGĂULUI",148,"JOSENII BÂRGĂULUI",33382,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:14:00",827,815,2,6,4,461,450,1,6,4,440,21,915,454,5,109,192,76,8,40,5,0,5
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",212,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:41:13",304,273,0,9,22,179,148,0,9,22,173,6,316,137,124,3,9,29,0,6,1,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",276,ŞINTEREAG,34903,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:54",250,239,1,7,3,147,137,0,7,3,134,13,250,103,1,14,76,38,1,2,0,1,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",244,"SILIVAŞU DE CÂMPIE",34422,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:59",741,696,0,19,26,553,508,0,19,26,462,91,783,230,0,114,223,70,1,24,14,3,13
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL AGRIŞU DE SUS",264,ŞIEU-ODORHEI,34770,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:33:37",125,121,0,4,0,89,85,0,4,0,81,8,150,61,2,23,28,16,2,1,0,0,9
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ALBEŞTII BISTRIŢEI",140,"GALAŢII BISTRIŢEI",33275,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:09",149,143,0,6,0,89,83,0,6,0,78,11,150,61,5,20,37,10,2,4,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCALIA",258,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:24:49",781,773,1,4,3,402,396,0,4,2,366,36,903,501,10,32,76,229,3,9,3,1,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARCHIUD",286,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:13:50",426,418,1,7,0,276,269,0,7,0,253,23,450,174,15,19,100,98,2,14,1,1,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",182,"MĂGURA ILVEI",33729,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:35",337,318,1,0,18,236,217,1,0,18,215,21,371,135,2,22,158,29,1,2,0,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BAŢA",217,"PETRU RAREŞ",34173,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:21:42",707,689,0,6,12,436,418,0,6,12,412,24,750,313,95,60,77,152,3,19,1,3,2
6,BISTRIŢA-NĂSĂUD,"CAMINUL CULTURAL BEUDIU",208,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:07:48",460,408,2,8,42,320,270,0,8,42,305,15,500,180,15,12,214,53,1,9,0,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BIDIU",176,MATEI,33658,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:01:59",142,133,0,4,5,95,86,0,4,5,74,16,140,50,1,4,45,18,1,4,1,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BÎRLA",183,MĂRIŞELU,33765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:25:02",269,266,0,2,1,197,194,0,2,1,185,12,300,103,6,21,105,48,0,4,0,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BISTRIŢA BÎRGĂULUI",85,"BISTRIŢA BÂRGĂULUI",32633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:27:30",1374,1357,2,5,10,825,810,0,5,10,786,39,1500,675,25,124,452,109,7,49,3,12,5
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BLĂJENII DE JOS",274,ŞINTEREAG,34903,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:47",303,294,0,4,5,187,178,0,4,5,178,9,350,163,4,9,116,37,1,9,2,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BRĂTENI",240,"SÂNMIHAIU DE CÂMPIE",34477,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:17:50",79,55,0,22,2,67,43,0,22,2,61,6,80,13,2,4,37,16,0,0,2,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUDURLENI",287,TEACA,34985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:13:57",73,66,0,7,0,51,44,0,7,0,48,3,100,49,1,2,26,16,0,2,0,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BUZA-CĂTUN",111,CHIOCHIŞ,33015,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:42",96,92,0,4,0,62,58,0,4,0,60,2,100,38,6,14,15,20,1,4,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CHIRALEŞ",155,LECHINŢA,33435,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:15",393,386,0,6,1,195,188,0,6,1,186,9,440,245,7,20,98,51,4,4,1,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-MIHĂIEŞTI",124,CICEU-MIHĂIEŞTI,179953,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:55:30",742,734,1,2,5,401,393,1,2,5,375,25,737,337,17,52,166,56,2,74,4,2,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-POIENI",103,"CĂIANU MIC",32811,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:08:50",265,237,0,3,25,265,237,0,3,25,261,4,550,285,2,4,251,3,0,0,0,1,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CIREŞOAIA",90,BRANIŞTEA,32660,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:08",1153,1096,0,12,45,825,768,0,12,45,820,5,1208,367,798,1,12,7,0,2,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COASTA",266,ŞIEU-ODORHEI,34770,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:21:09",157,147,0,8,2,96,86,0,8,2,90,6,179,83,3,18,39,15,0,14,0,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COLIBIȚA",88,"BISTRIŢA BÂRGĂULUI",32633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:46",245,238,1,6,0,124,118,0,6,0,115,9,300,176,4,10,65,23,1,6,0,6,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL COMLOD",192,MILAŞ,33881,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:08:45",130,114,0,14,2,85,69,0,14,2,76,9,130,45,6,11,20,36,0,2,0,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CRAINIMĂT",260,ŞIEU-MĂGHERUŞ,34690,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:02",887,884,0,3,0,447,444,0,3,0,405,42,950,503,5,54,82,225,9,27,1,0,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL DUMBRĂVENI",123,CICEU-GIURGEŞTI,32955,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:37",485,420,0,24,41,485,420,0,24,41,335,37,492,120,7,40,192,66,0,27,0,2,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FELDRU",136,FELDRU,33248,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:34",1346,1331,1,5,9,670,656,0,5,9,611,59,1450,780,19,67,218,245,1,33,5,2,21
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FELEAC",209,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:25:12",280,257,0,6,17,190,167,0,6,17,174,16,280,90,1,5,98,37,2,30,1,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL FÎNAŢE",308,URMENIŞ,35312,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:57:14",159,152,0,7,0,104,97,0,7,0,101,3,187,83,4,21,34,38,0,4,0,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL GALAŢII BISTRIŢEI",139,"GALAŢII BISTRIŢEI",33275,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:38",530,514,1,4,11,310,295,0,4,11,300,10,585,275,19,16,212,33,1,15,1,0,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ”GHERASIM DOMIDE” RODNA",232,RODNA,34333,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:43",1437,1426,1,3,7,852,841,1,3,7,780,72,1600,748,52,102,385,97,6,128,4,4,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL GLEDIN",195,MONOR,33952,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:30",391,363,0,9,19,294,266,0,9,19,275,19,400,106,5,26,130,20,0,91,1,2,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL JIMBOR",113,CHIOCHIŞ,33015,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:03:19",345,339,0,1,5,216,210,0,1,5,204,7,340,129,40,17,89,46,0,10,2,0,0
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LIVEZILE",162,LIVEZILE,33541,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:19",1230,1206,3,17,4,629,607,1,17,4,601,28,1338,709,12,78,370,67,6,51,11,1,5
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LIVIU REBREANU",76,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:00",569,560,0,5,4,347,338,0,5,4,324,23,600,253,4,19,124,173,0,3,0,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUNCA ILVEI",168,"LUNCA ILVEI",33603,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:00",1499,1495,1,1,2,780,777,0,1,2,719,61,1622,842,31,114,195,298,5,63,8,2,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUNCA ILVEI",169,"LUNCA ILVEI",33603,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:04",1178,1170,3,0,5,659,654,0,0,5,610,49,1300,641,13,81,236,207,3,61,4,1,4
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL LUŞCA",77,"ORAŞ NĂSĂUD",32544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:53",550,543,1,6,0,293,287,0,6,0,269,24,601,308,6,16,59,174,0,10,3,0,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MĂGURA ILVEI",181,"MĂGURA ILVEI",33729,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:53",1329,1266,0,1,62,851,788,0,1,62,771,80,1450,599,29,146,382,164,3,23,20,2,2
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MĂLUŢ",91,BRANIŞTEA,32660,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:40",460,451,0,3,6,315,306,0,3,6,296,19,499,184,7,11,166,82,3,9,4,14,0
