precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
12,CĂLĂRAŞI,"SCOALA GENERALA SILISTEA",227,"VALEA ARGOVEI",105712,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:17",542,511,0,18,13,363,332,0,18,13,350,12,560,198,194,100,10,46
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA VALEA ARGOVEI",226,"VALEA ARGOVEI",105712,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:42",1261,1164,0,53,44,886,789,0,53,44,842,44,1380,494,608,166,47,21
