precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MATEI TUDOR-PARTIDUL SOCIAL DEMOCRAT-voturi","MUNTEANU ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DOBRIN MARIUS-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
30,OLT,"ŞCOALA GIMNAZIALĂ OBOGA",262,OBOGA,127812,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:22",1039,972,0,22,45,657,590,0,22,45,641,16,1098,441,606,23,12
30,OLT,"ŞCOALA OBOGA DE JOS",263,OBOGA,127812,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:03:13",434,401,0,23,10,266,233,0,23,10,261,5,475,209,248,8,5
