precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
14,CONSTANŢA,"LICEUL TEHNOLOGIC ” MIHAI VITEAZUL”",495,"MIHAI VITEAZU",62253,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:12",1583,1555,1,5,22,871,843,1,5,22,833,38,1748,877,331,267,63,172
14,CONSTANŢA,"SCOALA GIMNAZIALĂ NR. 1 SINOE",496,"MIHAI VITEAZU",62253,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:40:41",1228,1212,0,12,4,726,710,0,12,4,688,36,1339,615,222,282,56,128
