precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGHICI CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DRAGOMIR FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRĂŞCONIU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-IV JIDOŞTIŢA",124,BREZNIŢA-OCOL,110820,3,PART,PRCNCT,P,P_SV,"2024-06-11 19:20:00",912,883,1,12,16,523,495,0,12,16,514,9,973,450,452,56,6
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-IV MAGHERU",125,BREZNIŢA-OCOL,110820,4,PART,PRCNCT,P,P_SV,"2024-06-11 19:58:05",920,907,0,6,7,473,460,0,6,7,449,24,1010,537,405,28,16
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII BREZNIŢA OCOL",123,BREZNIŢA-OCOL,110820,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:31",1471,1443,0,5,23,809,781,0,5,23,792,17,1589,780,736,43,13
