precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"URSACIUC ŞTEFAN-FILIP-PARTIDUL SOCIAL DEMOCRAT-voturi","HLODEC ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UHLIUC VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","SAVIN LIVIU-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","POPESCU MARIA-PARTIDUL MIȘCAREA POPULARĂ-voturi","BODNAR IONUŢ-ALIN-voturi"
35,SUCEAVA,"CENTRU DE ASISTENTA DUPA PROGRAMUL SCOLAR TIP AFTER SCHOOL",241,BRODINA,147241,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:50:50",624,614,1,6,3,329,320,0,6,3,318,11,698,369,108,22,170,6,11,1
35,SUCEAVA,"GRADINITA CU PROGRAM NORMAL FALCAU",242,BRODINA,147241,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:58:46",1109,1103,0,3,3,582,576,0,3,3,569,13,1200,618,173,7,237,56,56,40
35,SUCEAVA,"SEDIUL NOU AL PRIMARIEI COMUNEI BRODINA",240,BRODINA,147241,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:00",1331,1321,1,2,7,813,803,1,2,7,794,19,1467,654,382,32,338,2,22,18
