precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","SÂNGEORZAN VASILE-voturi"
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL CATEHETIC SF. ARHIDIACON STEFAN",173,MAIERU,33621,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:11:23",1546,1540,0,0,6,960,954,0,0,6,901,41,1693,751,32,403,186,135,28,63,54
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC MAIERU",171,MAIERU,33621,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:00:30",1271,1260,2,1,8,816,807,0,1,8,764,43,1400,584,36,329,146,144,33,42,34
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC MAIERU",172,MAIERU,33621,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:01:07",949,946,2,0,1,564,563,0,0,1,548,16,1050,486,20,236,106,101,34,29,22
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC MAIERU",170,MAIERU,33621,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:03:34",1006,990,1,0,15,673,658,0,0,15,650,23,1100,427,26,341,105,87,33,29,29
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ANIEŞ",174,MAIERU,33621,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:31:41",1521,1515,1,0,5,965,960,0,0,5,933,32,1650,685,60,241,172,159,7,251,43
