precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"ŞCOALA GENERALĂ MOŢIORI",183,APATEU,9798,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:37:00",231,224,0,1,6,163,156,0,1,6,151,7,249,90,1,70,26,52,1,1
2,ARAD,"ȘCOALA GIMNAZIALĂ ”GHEORGHE POPOVICI” APATEU,",180,APATEU,9798,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:25",924,875,0,5,44,681,632,0,5,44,665,16,1010,329,74,17,355,202,16,1
2,ARAD,"ȘCOALA GIMNAZIALĂ ”GHEORGHE POPOVICI” APATEU,",181,APATEU,9798,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:40",921,894,0,1,26,599,572,0,1,26,581,18,1010,411,93,12,258,196,18,4
2,ARAD,"ŞCOALA PRIMARĂ BERECHIU",182,APATEU,9798,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:05:09",666,620,1,7,38,465,419,1,7,38,450,15,720,255,24,7,233,139,5,42
