precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VARTOLOMEI ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","VÎLCU MIHAI-UNIUNEA SALVAȚI ROMÂNIA-voturi","SIMION VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢACU ADRIAN-COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi"
14,CONSTANŢA,"SCOALA GIMNAZIALA ”SA ESENIN” GHINDARESTI",447,GHINDĂREŞTI,61826,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:34:57",1105,1092,2,5,6,546,534,1,5,6,531,15,1208,662,55,224,206,46
14,CONSTANŢA,"SCOALA GIMNAZIALA ”SA ESENIN” GHINDARESTI",448,GHINDĂREŞTI,61826,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:55",1056,1043,2,3,8,522,510,1,3,8,514,8,1159,636,49,201,202,62
