precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASILCA DANIEL-LOGIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PROCIUC COSTIN-IERONIM-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AVRAM VALER-PARTIDUL SOCIAL DEMOCRAT-voturi","CORPADEA MARCEL-UNIUNEA SALVAȚI ROMÂNIA-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ARŞIŢA",182,"MĂGURA ILVEI",33729,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:35",337,318,1,0,18,236,217,1,0,18,226,9,371,135,19,15,189,3
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MĂGURA ILVEI",181,"MĂGURA ILVEI",33729,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:53",1329,1266,0,1,62,851,788,0,1,62,821,30,1450,599,199,95,504,23
