precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRICĂ VASILE-CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOREA IONEL-DOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU IOANA-JENICA-PARTIDUL NAȚIONAL LIBERAL-voturi","GRIGORE GEORGEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL TIGVENI",445,RĂTEŞTI,18331,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:45",664,660,0,4,0,402,398,0,4,0,391,11,724,322,260,21,54,56
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV FURDUEŞTI",441,RĂTEŞTI,18331,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:09",405,403,0,2,0,228,226,0,2,0,224,4,444,216,138,59,23,4
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV MAVRODOLU",442,RĂTEŞTI,18331,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:59",126,120,0,5,1,76,70,0,5,1,76,0,139,63,44,10,19,3
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV NEJLOVELU",443,RĂTEŞTI,18331,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:54:51",376,372,4,0,0,200,200,0,0,0,193,7,412,212,95,34,62,2
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV PĂTULENI",444,RĂTEŞTI,18331,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:08",764,761,0,3,0,508,505,0,3,0,491,17,838,330,303,8,167,13
