precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DICU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞANDRU LUMINIŢA-PARTIDUL NAȚIONAL LIBERAL-voturi","CLINCIU STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"CĂMINUL CULTURAL DUMBRĂVENI",443,DUMBRĂVENI,63161,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:45",385,332,0,29,24,305,252,0,29,24,298,4,362,60,13,206,79
14,CONSTANŢA,"GRĂDINIȚA DE COPII FURNICA",444,DUMBRĂVENI,63161,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:58",62,41,0,19,2,56,35,0,19,2,56,0,65,9,0,17,39
