precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUNGU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CIORTAN MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BADEA LUMINIŢA-voturi"
16,DÂMBOVIŢA,"SCOALA GENERALA VALENI DIMBOVITA, PARTER SALA A DOUA",411,VĂLENI-DÂMBOVIŢA,69303,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:35",883,865,0,6,12,612,594,0,6,12,600,12,950,338,443,14,143
16,DÂMBOVIŢA,"SCOALA GENERALA VALENI DIMBOVITA, PARTER SALA PATRU",412,VĂLENI-DÂMBOVIŢA,69303,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:47",941,920,1,3,17,642,622,0,3,17,635,7,1012,370,463,9,163
16,DÂMBOVIŢA,"SCOALA NOUA GENERALA MESTEACAN",413,VĂLENI-DÂMBOVIŢA,69303,2,PART,PRCNCT,P,P_SV,"2024-06-12 12:06:38",222,210,0,10,2,175,163,0,10,2,167,7,230,55,125,3,39
