precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUCĂTURĂ MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRU MIRCEA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GUNĂ STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂMESCU CORNEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","BECHET MIHAI-voturi"
17,DOLJ,"CAMIN CULTURAL GIUBEGA",363,GIUBEGA,72506,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:23:57",911,818,2,67,24,614,524,0,67,23,602,12,908,294,371,11,212,3,5
17,DOLJ,"PRIMARIA VECHE",364,GIUBEGA,72506,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:17",864,789,0,65,10,625,550,0,65,10,604,18,900,278,330,15,243,7,9
