precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIFAN CRISTIAN-GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","MUNGE DUMITRU-MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","IGNA LEONID-AVRAM-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PANTIŞ SANDU-TUDOREL-UNIUNEA SALVAȚI ROMÂNIA-voturi"
5,BIHOR,"CAMIN CULTURAL",560,"SÂNNICOLAU ROMÂN",32179,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:34:08",1078,972,1,95,10,821,716,0,95,10,799,22,1072,251,209,557,21,12
5,BIHOR,GRADINITA,562,"SÂNNICOLAU ROMÂN",32179,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:35",582,542,0,30,10,463,423,0,30,10,441,22,593,130,184,253,4,0
5,BIHOR,"SCOALA GENERALA",561,"SÂNNICOLAU ROMÂN",32179,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:21",310,269,0,32,9,243,202,0,32,9,235,8,303,60,94,138,1,2
