precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMULEA LIVIU-ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHA IULIUS-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi"
37,TIMIŞ,"PRIMARIA IECEA MARE",442,"IECEA MARE",159428,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:43",1324,1152,2,152,18,827,657,0,152,18,803,24,1479,652,454,349
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ CLASELE V-VIII",443,"IECEA MARE",159428,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:00:23",1364,1191,0,136,37,881,708,0,136,37,864,15,1428,549,434,430
