precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMONIS ALFRED-ROBERT-ALIANȚA ELECTORALĂ PSD PNL-voturi","IACOB ADRIAN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MAYER MARIAN-PARTIDUL ROMÂNIA MARE-voturi","SIMUŢ GLAD-PARTIDUL S.O.S. ROMÂNIA-voturi","NICA ALIN-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BALAŞ NELU-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","SZIME OVIDIU-DANIEL-PARTIDUL ROMÂNIA PUTERNICĂ-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:28:03",1748,1714,14,15,5,864,843,1,15,5,819,22,2000,1154,306,80,5,23,361,21,23
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:44:25",1785,1745,13,27,0,1081,1053,1,27,0,837,19,2000,0,278,44,4,11,461,14,25
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:15:38",1742,1720,4,5,13,754,736,0,5,13,708,46,1800,1046,429,76,10,35,137,13,8
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:10:10",977,956,4,12,5,581,563,1,12,5,548,33,1000,419,244,53,7,46,170,16,12
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:12:33",909,890,4,3,12,459,444,0,3,12,436,23,1000,541,280,114,4,14,20,3,1
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:39",1196,1179,5,8,4,545,531,2,8,4,519,26,1400,855,225,59,4,14,210,2,5
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:18",717,632,77,8,0,285,272,5,8,0,278,7,1100,815,101,14,3,5,150,2,3
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:23",350,342,0,8,0,157,149,0,8,0,146,11,400,243,48,32,1,20,42,1,2
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:23",490,489,0,1,0,219,218,0,1,0,216,3,500,281,89,55,2,14,50,4,2
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:42",641,616,1,6,18,387,362,1,6,18,378,9,800,413,238,45,3,9,56,26,1
