precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOLTEA FLORIN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"ȘCOALA GENERALĂ",326,GROŞI,106363,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:09:58",1171,1161,4,4,2,576,570,0,4,2,500,76,1300,724,500
26,MARAMUREŞ,"ȘCOALA GENERALĂ",325,GROŞI,106363,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:56:30",434,427,0,7,0,168,161,0,7,0,142,26,500,332,142
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ „GHEORGHE LUPAN”",324,GROŞI,106363,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:48",1544,1510,3,26,5,880,848,1,26,5,782,98,1600,720,782
