precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",29,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 11:50:19",2037,1918,105,14,0,909,895,0,14,0,882,27,2224,78,175,158,63,17,22,32,314,15,86
44,"Sector 1","CENTRUL SOCIAL SF. LAZĂR",28,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 15:56:30",2029,1967,48,13,1,958,943,1,13,1,940,15,2210,1252,209,137,90,14,20,72,300,30,68
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",312,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 03:50:24",1288,1273,7,8,0,627,619,0,8,0,615,12,1600,973,161,71,48,15,20,31,188,8,73
45,"Sector 2","CLUB SPORTIV ŞCOLAR NR. 2",311,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-12 02:29:25",1546,1508,30,8,0,705,697,0,8,0,681,15,1600,895,191,57,58,10,28,36,239,15,47
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",927,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:24:28",1269,1264,3,2,0,566,564,0,2,0,545,21,1400,834,150,44,38,5,11,139,121,9,28
48,"Sector 5","CLUBUL COPIILOR SECTOR 5",926,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 04:53:03",1229,1216,6,7,0,599,592,0,7,0,577,22,1400,783,148,68,33,9,23,150,108,12,26
49,"Sector 6","CLUBUL SENIORILOR MIHAI EMINESCU",1289,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 05:37:35",951,937,0,12,2,438,424,0,12,2,416,22,900,462,82,78,31,9,10,22,134,8,42
49,"Sector 6","CLUBUL SPORTIV SCOLAR NR. 5",1244,"BUCUREŞTI SECTORUL 6",179196,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 11:57:46",1522,1449,34,38,1,755,715,1,38,1,747,8,1401,646,89,119,28,9,8,22,366,13,93
44,"Sector 1","CLUBUL SPORTIV ŞCOLAR NR.5",110,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 09:00:49",935,897,33,5,0,333,328,0,5,0,327,6,1040,688,97,48,24,10,21,30,72,6,19
44,"Sector 1","CLUBUL SPORTIV ŞCOLAR NR.5",109,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 06:01:30",939,934,0,5,0,374,369,0,5,0,361,13,1030,656,112,60,25,10,14,31,83,11,15
45,"Sector 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",350,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,CJ,CGMB_SV,"2024-06-10 07:17:40",1125,1098,15,9,3,491,479,0,9,3,484,6,1200,710,94,72,39,6,10,21,188,12,42
