precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,6,PART,PRCNCT,CL,CL_SV,"2024-06-14 18:37:37",876,704,1,76,95,666,494,1,76,95,644,22,875,209,255,59,314,16
36,TELEORMAN,"CĂMINUL CULTURAL PLOPI",99,BEUCA,155092,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 06:29:19",142,120,0,8,14,118,96,0,8,14,114,4,148,30,84,2,26,2
