precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SUCACIU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","URS CRISTIAN-GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞTIRBU COSMIN-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDRONE BOGDAN-IONUŢ-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","MALENE PETRU-PARTIDUL ECOLOGIST ROMÂN-voturi","POPARAD GHEORGHE-COSMIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"COLEGIUL NAŢIONAL ”DOAMNA STANCA”",214,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:38",1241,1231,4,6,0,485,479,0,6,0,468,17,1400,915,320,62,28,2,17,39
8,BRAŞOV,"COLEGIUL NAŢIONAL ”DOAMNA STANCA”",213,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:24",1322,1309,5,5,3,493,484,1,5,3,482,11,1500,1007,296,60,26,16,25,59
8,BRAŞOV,"COLEGIUL NAȚIONAL ”DOAMNA STANCA”",212,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:00",953,931,11,8,3,367,353,3,8,3,353,14,1019,652,199,65,20,18,16,35
8,BRAŞOV,"COLEGIUL NAŢIONAL „RADU NEGRU”",217,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:14",1367,1365,0,2,0,401,399,0,2,0,391,10,1200,799,275,64,9,5,10,28
8,BRAŞOV,"COLEGIUL NAŢIONAL „RADU NEGRU”",218,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:17",1236,1235,0,1,0,504,503,0,1,0,495,9,1400,896,338,58,31,10,22,36
8,BRAŞOV,"COLEGIUL NAȚIONAL ”RADU NEGRU”",221,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:15",1514,1507,1,6,0,523,517,0,6,0,510,13,1700,1177,336,60,36,16,15,47
8,BRAŞOV,"COLEGIUL NAȚIONAL ”RADU NEGRU”",219,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:37",1343,1335,1,7,0,382,375,0,7,0,367,15,1500,1118,275,33,17,8,13,21
8,BRAŞOV,"COLEGIUL NAȚIONAL ”RADU NEGRU”",220,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:53",1498,1493,2,3,0,472,469,0,3,0,452,20,1700,1228,267,44,24,79,10,28
8,BRAŞOV,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ",206,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:34",1487,1475,2,9,1,498,488,0,9,1,487,11,1700,1202,344,39,23,35,20,26
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ALBINUȚA",226,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:32",1045,1033,0,12,0,494,482,0,12,0,491,3,1200,706,350,62,19,17,17,26
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ALBINUȚA",227,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:42",1105,1091,2,12,0,407,394,1,12,0,390,17,1200,793,265,46,26,15,9,29
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PINOCHIO”",228,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:51",410,394,1,14,1,409,394,0,14,1,385,11,1200,787,219,37,35,63,10,21
8,BRAŞOV,"GRADINȚA CU PROGRAM PRELUNGIT „VOINICELUL”",207,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:52",1627,1617,2,8,0,498,490,0,8,0,472,26,1800,1302,334,39,34,29,14,22
8,BRAŞOV,"LICEUL TEHNOLOGIC „AUREL VIJOLI”",222,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:39",1354,1343,0,7,4,452,441,0,7,4,435,17,1500,1048,222,19,27,143,6,18
8,BRAŞOV,"LICEUL TEHNOLOGIC „AUREL VIJOLI”",223,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:41",1102,1089,0,11,2,454,441,0,11,2,416,28,1200,756,135,14,32,226,1,8
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ”SF. CONSTANTIN BRÂNCOVEANU”",225,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:15",1609,1600,2,7,0,491,484,0,7,0,475,16,1800,1309,290,55,44,39,16,31
8,BRAŞOV,"LICEUL TEOLOGIC ORTODOX ”SF. CONSTANTIN BRÂNCOVEANU”",224,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:58",1775,1768,1,5,1,541,535,0,5,1,527,14,2000,1459,394,39,25,11,24,34
8,BRAŞOV,"ȘCOALA GIMNAZIALA NR. 1 - COLEGIUL NAŢIONAL ”RADU NEGRU”",215,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:12",1084,1075,1,8,0,426,418,0,8,0,404,22,1200,774,278,69,11,4,16,26
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ NR. 1 - COLEGIUL NAŢIONAL ”RADU NEGRU”",216,"MUNICIPIUL FĂGĂRAŞ",40278,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:04",1286,1261,4,5,16,494,473,0,5,16,473,21,1400,906,330,53,30,6,16,38
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 4 - ȘCOALA GIMNAZIALĂ ”OVID DENSUŞIANU”",211,"MUNICIPIUL FĂGĂRAŞ",40278,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:34:17",1191,1182,0,5,4,607,598,0,5,4,556,45,1300,699,224,41,18,240,23,10
